Buddhist monk's robe	jia-; sha-
gravel	li\; sui\shi/
guidelines	fa-ngzhe-n
hard to handle	na/nyi\/yi\ngfu\
headline	bia-oti/
hidden shoal	a\nta-n
holiday	jia\ri\; jie/ri\
how old	duo-da\
idleness	da\iduo\
in a cheerful mood	ga-oxi\ng
in-laws	yi-nqi-n
inexperienced	me/iji-ngya\n
insolent	cu-ye\/; a\o
intoxicated	di\/ng; ha-n; zui\
it would be better to	bu\ru/
keel	lo/nggu\/
laboratory	shi/ya\nshi\
later	ge\ngchi/
left and right	zuo\/yo\u
light a fire	she-nghuo\/
lobster	lo/ngxia-
lose one's job	diu-fa\nwa\/n
magnetic field	ci/cha\/ng
make mischief	ba-nno\ngshi\fe-i
marble	da\li\/shi/
mechanical person	ji-qi\re/n
metropolitan	da\du-hui\
mission	<diplomatic or other shi\/mi\ng; cha-i; chua/nda\obu\; re\nwu
more likely than not	ba\/obu/zhu\
multinational corporation	kua\guo/go-ngsi-
native language	be/nzu/yu\/; mu\/yu\/
new problems complicate an issue	jie/wa\ishe-ngzhi-
noodles served with soy sauce	ba\nmia\n
not only but also	e/rqie\/; bu\da\n
numberless	wu/shu\
official pay	xu\/
one's own country	be\/nguo/
organ transplant	qi\gua-nyi/zhi/
overdraft	<bank to\uzhi-
parachute	jia\ngluo\sa\/n
pavilion	ti/ng; ti/ngzi; xie\
perch	qi-xi-
physical composition	wu\li\/jie/go\u
plantago major l. var. asiatica	yi\/
political and government circles	zhe\ngjie\
powerful	qia/ngji\ng; yo\/uli\; cho\ng
previous	guo\qu; wa\/ng; yi\/qia/n
promptly	lia/nma/ng; ji/shi/
puff	yi-chui-; chui-; to puff: pe-n
quarrel	ba\nzui\/; cha/; to quarrel: cha\/o; cha\/ojia\
rap	qia-oji-
reciprocal	hu\hui\
regulation	gui-ze/; gui-zha-ng
reply	da-ying; da/; da/ci/; da/fu\; hui/da/; to reply: da/dui\; da/hua\; <to an accusation, e.g. da/bia\n
retard	jia\/ndi-su\du\; to retard: jia\/nhua\/n
rising sun	xu\
rug	shu-; ta\/nzi; di\ta\/n; ta\/n
sanctification	she\nghua\
scolopendra centipede	go-ng
see the world	yue\shi\
sergeant	ju-nshi\; ji\/nggua-n
sharpen	mo/
show no interest in smth	bu\we/nbu\we\n
sine qua non	bi\bu\ke\/sha\/ozu\/che/ng
slippery	hua/liu-; hua/
soccer	<American English zu/qiu/
south	na/n; na/nfa-ng
spider	zhi-; zhi-zhu-; zhu-
stake	<marking bia-ozhua-ng; zhua-ng; <all>; pi-n
steamed bun	ma/ntou; bo-bo
storm and stress	fe-ngcha/o
style	fe-ngge/; shi\ya\ng; shi\ya\ng; bi\/dia\o; ya\ngshi\
sunglasses	mo\ji\ng
swelling water	la/n
take notice of	ca\/i; li\/hui\
team	ba-n; tua/ndui\
test result	ce\ya\njie/guo\/
thirtieth day of a month	shi/sa-nri\
timid	jua\n; chu\; da\/nxia\/o; nuo\
touch up	mia/o
travel route	xi/ngche/ng
tuft	liu\/
unburnt earthenware	pi-
unlawful	bu\fa\/
urgent priority	da-ngwu\zhi-ji/
veranda	wu\/
visit Russia	fa\/nge/
warrior	shi\
went on to	<do something jie-zhe
wicker	bi\
without authority	sha\n
wreckage	ca/nha/i
-ing	<indicates an action in progress zhe
Buddhist teaching	fa\/
Fujitsu	fu\shi\to-ng
Malaysian language	ma\/la/iyu\/
Sir	jue/shi\
ability to write	bi\/di\/xia\; bi\/to/u
act as	we/i; to act as: da-ng
afflicted with all ills	ba\/iko\/ngqia-nchua-ng
all walks of life	ge\jie\
ancient times	gu\/da\i
appendicitis	la/nwe\/iya/n
arrow	jia\n; jia\nto/u; shi\/
asylum for the aged	xia/ng
aviation	fe-ixi/ng; ha/ngko-ng
barbarians	di/
be burdened	be-i
be like	xia\ng; xia\o
