Buddhist monk's robe	jia-; sha-
lick	shi\; tia\/n
literature	we/nxue/
look for trouble	xu/nshi\she-ngfe-i
luxuriance of growth	wa\/n
make a surprise attack	xi/ji-
manifest	mi/nglia/o; zha-ng; zha-o; bia\/oxia\n
may	ke\/; ke\/yi\/; ne/ng
mercury	go\/ng; shui\/yi/n
mining industry	kua\ngye\
monk	se-ng; se-nglu
movement	do\ngzuo\; sho\/uzu/; yu\ndo\ng; yi/do\ng; do\ngta\i
nape	bo/ge\/nger
network design	wa\/ngluo\she\ji\
nobody	me/iyo\/ure/n
not good at	bu\sha\n
nth	ci\
oddly	gu\/gua\i
one after another	a-ici\; fe-nfe-n
or keep pace with	bi\ngjia\qi/qu-
output power	fa-so\nggo-nglu
pale-faced scholar	ba/imia\nshu-she-ng
paste	hu\; ga-o; hu/; rua\/nga-o; zha-n; to paste: tie-
pending	we\ijue/di\ng
pestilence	chua/nra\/nbi\ng
placenta	ba-o
point against	zhe-ndui\
postman	yo/ucha-i
presidential palace	zo\/ngto\/ngfu\/
professional	ha/ng
prune	xiu-jia\/n
put on a play	ya\/nxi/
raindrop	yu\/di-
rearrange	ga\/ibia-n
refuse to entertain	<a proposal bu\sho\uli\/
renew	xu\di\ng
respond to	xia\/ngyi\ng
right to vote	bia\/ojue/qua/n
round-bottomed basket	ba-do\/u
safely	a-nra/n
scent tea with flowers	xu-n
secret document	ji-mi\we/njia\n
senior official	sho\/uzha\/ng; zha\/nggua-n
sh	xu-
short period	zhe\n
silken banner	zha-n
slave	nu/; nu/li\
snap fastener	e\nkou\r
sorghum	lia/ng
specification	ge/shi\
squash	ya-bia\/n
stately	zhua-ngya/n
stockholder	gu\/do-ng
strong wine	zho\u
suggestion	ti/yi\; a\nshi\
suspenders	be-ida\i
take a walk	sa\nbu\
tarsus	fu-; fu-
tender	ne\n; xi\ne\n; ya-o; we-nro/u; jia-o; xia-nxi\
thick sauce	jia\ng
ticket seller	sho\upia\oyua/n
top and bottom	sha\ngxia\
translate and edit	bia-nyi\
true	<confirm to be que\yo\/uqi/shi\; zhe-nshi/; che\ng; shi/; xi\n; zhe-n; zhe-nzhe\ng
tyrant	ba\oju-n; ba\
ungenerous	bo\
upland	ga-odi\
vary	bia\nhua\n; bu\yi-; bia\nhua\; to vary: bu\de\/ng; bia\n
vine	te/ngma/n
wall lamp	bi\de-ng
wee	xi\xia\/o
white horse	pia\o
wiretap	qie\ti-ng
worm	cho/ng; ru/cho/ng; ru/cho/ng; cho/ng; chi-; yu\
young leaves of tea	mi/ng
Book of Habakkuk	ha-ba-gu\/shu-
E-mail delivery service	dia\nzi\/yo/ujia\nchua/nso\ngfu/wu\
Japanese troops	ri\ju-n
Puerto Rico	bo-duo-li/ge\
Windows accelarator	shi\chua-ngjia-su\qi\
according to the plan	a\nzha\oji\hua\
advanced	ga-oji/; <studies she-nza\o; <technology xia-nji\n
alcoholic	che/ng
amount	shu\lia\ng; shu\mu\; e/
anxious	ba-bu\de/; da-nxi-n; fu/; qio/ng; zhui\
armchair	ka\obe\iyi\/
assert	xua-nche-ng; to assert: she-ngche-ng
aunt	da\nia/ng; gu-ma-; yi/ma-; bo/mu\/; yi/
bamboo mat for sitting	ya/n
be a speculator	<profit seeking to/uji-
be in favor of	zhi-chi/
be troubled	<by gua-nqie\
beginning of the year	nia/nchu-
birth	da\n
bomb	<drop a bomb ho-ngzha\; zha\da\n
branches flourish	be\/ngu\zhi-ro/ng
broom	sa\o; sa\o; sa\ozhou; tia/o; zho\/u
by chance	pe\ngqia\/o
cannot stand	bu\ka-n
casual	sui/bia\n
change countenance	qia\/o; bia\nse\
choose	jia\/n; tia-oxua\/n; zo-u; to choose: pi/ngxua\/n; xua\/n; li/nxua\/n; ze/; qu\/; xua\/nze/; ca\/i; <by public appraisal pi/ng
clever	jia-o; li\; li/ng; mia\o; yi\/ng; ga-omi/ng; gua-i; co-ng
collect alms	<Buddhism mu\hua\
communications industry	to-ngxu\nha/ngye\
concerning	gua-nyu/
construction site	go-ngdi\
copy	fu\be\/n; to copy: cha-o; cha-oxie\/; fa\/ngxia\o; ka\/obe\i; zha\oba-n; <a model of calligraphy or painting li/nmo/; li/nxie\/; <of newspaper, magazine, etc. fe\n
cramped	bi-ze\
cuisine	pe-ng; fa\n
dangling ornament worn by women	bu\ya\o
declivity	tuo/
department head	yua\nzha\/ng
dialectical materialism	bia\nzhe\ngwe\/iwu\zhu\/yi\
disc	pia-n
disturbed	bu\a-n
dozen	da/; yi-da\/
dust	che/n; fe\/n; hui-che/n; a-i; be\n; tu\/; to dust: da\/n
eel	ma/n; ma/nyu/
embroidered sash	gu\/n
enter	ji\n; to enter: ji\nru\; ru\; <a hole zua-n
even-handed	bu\pia-nbu\yi\/
expanse	kua-nkuo\
factory director	cha\/ngzha\/ng
feable	ruo\; shua-i; shua-iruo\
fifteen	shi/wu\/
fireworks	ya\nhuo\/; ya-nhuo\/
flour	mia\n; mia\nfe\/n; ba/imia\n
for the past few days	ji\/tia-nla/i
fourth month	si\yue\
fume	cho\uwe\i
general meeting	da\hui\
give expression to	ti\/xia\n
go to sleep	a-nxi/; to go to sleep: shui\jia\o
grasshopper	ma\; me\/ng; me\/ng; zha\; zha\me\/ng
guard against	fa/ngzhi\/
hard coal	ba/ime/i
hazel tree	zhe-n
heterogeneous	bo/za/; yi\zhi\
hold or keep	ba\/o
housework	jia-shi\
ideal	li\/xia\/ng
improbable	bu\hui\
in those years	da-ngnia/n
industry and commerce	go-ngsha-ng
insemination	sho\uji-ng
intertwine	cha/nra\/o
it is self-evident	bu\ya/ne/ryu\
just right	zhe\ngha\/o
knuckle	zhi-gua-njie/
lasting	chi/jiu\/; yo\/ngjiu\/; <a certain time we/iqi-
leave this word	qi\shi\
lifelong	zho-ngshe-n
living in Yunnan	ba/izu/; be-nglo/ngzu/
lordly	yo\/uqi\pa\i
maggot	qu-; qi/
make happy	shi\/ga-oxi\ng
manuscript	ga\/o; sho\/uga\/o; ca\/o
measure in traditional Chinese music	ba\/nya\/n
meteor	liu/xi-ng
miserably	ke\/a-i
mop	tuo-ba\/
multi-color	hui\
national unified entrance exam	to\/ngyi-zha-oshe-ng
neutral	zho-ngli\; zho-ngxi\ng
non-syllabic dimi. suff.	r
not merely	bu\da-n; bu\zhi\/
numb	bi\; ma/mu\
offer sacrifice	ji\
one time	yi-du\; bia\n
ordinarily	a\nshuo-
over one billion	shi/duo-yi\
panties	cha\/
patriotism	a\iguo/
peptide	she-ng
phone call	dia\nhua\
planing length	ba\oche/ng
policy	fa-ngzhe-n; zhe\ngce\; ce\
pour out libation	le\i
pretty	pia\oliang; jia-o
prologue	xu\mu\
public will	mi/nyi\
quaint	li/qi/yo\/uqu\
range	ba\/cha\/ng
receiving party	dui\fa-ng
regretful	cha\ng
repent	hui\/ga\/i; a\ohui\/; ho\uhui\/
result in	zhi\shi\/
ripple	bo-we/n; lia/n; lia/nyi-; yi-; bo-; la/i
rubbing from incised inscription	tie\
salvation	jiu\e-n; jiu\shi\
science and technology	ke-ji\
sedan chair	jia\o
separatism	fe-nli/zhu\/yi\
shapeless	me/iyo\/uxi/ngzhua\ng
shoulder blade	jia\/
simultaneously	to/ngshi/; bi\ng
slight blemish	ba/ibi\we-ixia/
so far	qi\ji-n; da\omu\qia/nwe/izhi\/
sound recording	lu\yi-n
spend a holiday at a summer resort	bi\shu\/
stage	<theatrical or political wu\/ta/i; jie-dua\n; qi-; ce/ngci\
stay somewhere temporarily	ti/ngliu/
stopover at	do\uliu/
stuffy	me-n
summit	dia-n; di\/ngdia\/n; di\/ngdua-n; <meeting sho\/una\/o
sweet	tia/n; ga-n
take in hand	ca-o
teach	jia-o; to teach: sho\u; sho\uke\; jia\oyu\
terrible	xio-ng; za-oga-o; ke\/pa\
third and youngest of brothers	bo/zho\ngshu-ji\
time	bia\n; du\n; ta\ng; za-o; ji\jie/; shi/ho\u; shi/jia-n; <in a printed page or news story pia-nfu; <interval shi/qi-
tossing of billows	ya\n
transport method	chua/nshu-me/ijie\
try to gain	bo/qu\/; mo/uqu\/
unarmed	we\iwu\/zhua-ng
universal love	bo/a\i
upward	xia\ngsha\ngdi\
vendor's stand	ta-n
virtually	shi/zhi\sha\ng
warlike	ha\ozha\n; bi-ng
well proportioned	yu/nche\n
wholeheartedly	qua/nxi-nqua/nyi\
wither	we\/i; ku-we\/i; nia-n
wrack one's brains	jia\/oji\nna\/ozhi-
zest	re\xi-n
Broken Bridge	<at West Lake in Hangzhou dua\nqia/o
February	e\ryue\
Latin America	la-me\/i
Saturday	xi-ngqi-liu\
abductor	yo\ugua\/izhe\/
acknowledge	re\nzhi-; to acknowledge: che/ngre\n
affair	go\u; shi\qing; wu\
all one's life	be\izi; bi\she-ng; yi\she-ng
ancient	gu\/; gu\/la\/o
apparatus	yi/
arrange for	a-ndu\n; a-nzhi\
assure	ba-ogua\/n
auxiliary	fu\; fu\/
banking crisis	ji-nro/ngfe-ngbo-
be aware	zhi-
be irrelevant	bu\xia-ngga-n
be upset	bu\shi\we\ier
belt	da\i; da\izi
black tea	ho/ngcha/
bookworm	du\
break in two	a\/o
buckle up	ko\usha\ng; xi\sha\ng
cable television	yo\/uxia\ndia\nshi\
captain	dui\zha\/ng; li\/ngdui\; <of a warship jia\nzha\/ng
catty	ji-n
character set	zi\ji/
cicada	cha/n; tia/o
cloisonne ware	fa\
colt	ju-; xia\/oma\/
comparatively new	bi\/jia\oxi-n
confer upon	zuo\
contend	ji\ng
correction	ge-ngzhe-ng; ga\/izhe\ng
creation	jia\nli\; chua\ngzuo\
curled	qua/n
data interface	shu\ju\jie-ko\/u; shu\ju\jie\mia\n; zi-lia\ojie\mia\n
deep-rooted	<problem, etc ge-nshe-ndi\gu\
deputy	che/ng; ba-ngba\n
diet	yi\/nshi/lia/oya\/ng; guo/hui\
disdain	bi\/qi\; qi-ngmie\
do a favour	ba-ngma/ng
drawer	cho-uti; ti\
each and every	jie-
eight treasures	ba-ba\/o
emporer	bi\
entropy	sha-ng
everything	yi-qie\shi\wu\; <one could imagine yi-ngyo\/uji\nyo\/u
expidition	zhe-ngzha\n; zhe-ng
fairyland	xia-nji\ng
feeding trough	si\ca/o
file	<computer we/na\n; a  file: <tool for shaping metal cuo\; da\nga\n; we/njia\n; a\n; da\ng; lie\; to file: cuo\; cuo\
first-class	di\yi-liu/
fluid	liu/ti\/
forefather	zu\/; zu\/xia-n
frame someone	<by planting smth on them za-iza-ng
furnishings	ba\/ishe\er
geographical area of command	ju-nqu-
given year	nia/nfen
golden	ji-nse\; ji-nhua/ng
great calligraphy master	shu-she\ng
gunpowder	huo\/ya\o
harmful bacteria	bi\ngju-n
hearse	bi\nche-
high class	ga-oce/ng
homeland	zu\/guo/; gu\xia\ng
human body	qu-; re/nti\/
illegal	bu\he/fa\/; fe-ifa\/; we/ifa\/; bu\fa\/
in all directions	si\mia\nba-fa-ng
incense	xia-ngqi\; xia-ng
infernal	di\yu\
instigate	fe\n; cha\ng
inundation	mia\/n
itself	be\/nshe-n; ta-be\/nshe-n; zi\she-n
keep off	da\/ng
ladle out	yi\
lattice window	yo\/u
legislation	fa\/gui-; li\fa\/
lightly	qi-ngqi-ng
locomotive	ji-gua-nche-
loud laughter	jue/
maiden name	shi\
make public	go-ngbu\
mark off	hua\; hua\
medical science	yi-xue/
middleman	jie\
misuse	wu\yo\ng
mortality rate	si\/wa/nglu
multithreading	duo-go-ngyu\nzuo\
naughty	ta/oqi\; wa/npi/
news service	<eg, Xinhua to-ngxu\nshe\; xi-nwe/nchu\
north magnetic pole	be\/iji/
not simple	bu\jia\/nda-n
nylon	ni/lo/ng; bo-li
oil painting	yo/uhua\
only in the case that	chu/fe-i
original story	be\/nshi\
overnight	to-ngxia-o
parasol	ya/ngsa\/n; sa\/n
pay attention	<to zhu\yi\; ca\/i; to pay attention: zhu\
performer	ya\/nyua/n
pickled meat	ha\/i
platter	da\pa/nzi
politics	zhe\ngzhi\; zhe\ngzhi\xue/
praseodymium	pu\/
prickly heat	fe\i
proper	de/yi/; yi/; yi-ngyo\/u; yu\/nda\ng; tuo\/sha\n; zhe\ngque\; de/; da\ng
pulse	ma\ibo/; bi\; ma\i; to pulse: tia\odo\ng
quibble	jia\/obia\n
rat	la\/oshu\/; shu\/
recommendation	tui-jia\n; jia\nyi\
rejoice	yi\; shi\/ga-oxi\ng
represent	da\ng; to represent: da\ibia\/o
return of a prodigal son	la\ngzi\/hui/to/u
road leading north and south	qia-n
rumbling of wheels	li/n
sanitary equipment	we\ishe-ngshe\be\i
scowl	zho\ume/ito/u
seep through	li/
serve for another term of office	lia/nre\n
shed or pen for cattle	gu\
shrike	bo/la/o
sink	che/n; shui\/ca/o
slush	na\o
soft leather	we/i
sow	bo-; to sow: jia\/ng
spirit world	li/ngdeshi\jie\
stammer	ji/; ko\/uchi-
steep hill	qia\o; xia\n
straits	ha\/ixia/
submission	gui-shu\n
superiority	yo-uyue\
swinging rings	ba\/ida\ngdia\ohua/n
take place	fa-she-ng
tearfully	sha-n
thank-you speech	da/ci/
this sort of	zhe\zho\/ng
tip of a writing brush	bi\/fe-ng
towards Japan	<policy, etc. dui\ri\
treat	dui\da\i; da\i; to treat: lia/o; zhi\lia/o; chu\/li\/; <to a meal, etc qi\/ng
turkey	tu\/sho\uji-
unconcerned	mo\
unmixed	cui\; chu/n
use up	ji\n; xia-oha\o
very	he\/n; she\n; ga-odu\; he\/n; lia/ng; bu\she\ng; ma/n; sha\; shi/fe-n
vitamin	we/ita-mi\ng
watch attentively	zhu\shi\
what is at stake	du\/zhu\
wield power	zha\/ngqua/n
wizard	na/nwu-; xi/
write and direct	<a play, film, etc. bia-nda\/o
Adam	ya\/da-ng
Central Asia	zho-ngya\
God	la\/otia-nye\/; sha\ngdi\; she/n
Miami	ma\ia-mi\; ma\ia-mi\
Spanish language	xi-ba-nya/we/n; xi-ba-nya/yu\/
about 1	mu\/
acting play	ya\/nchu-
again and again	pi/npi/n; ta\
allotment to a feudal noble	ca\i
angry	fe\nnu\; fu/; huo\/r; she-ngqi\; xi\ng
application software	yi\ngyo\ngrua\/njia\n; yi\ngyo\ngrua\/nti\/
article made of bamboo strips	ba-
at first	chu-; zha\o; be\/nla/i
aware	cha/jue/
barking	jia\oshe-ng
be convinced	<that something is true xia-ngxi\n
be of the firm opinion that	re\ndi\ng
bear a close resemblance to	bi-xia\o
best interests	zui\jia-li\yi\
bleach	pia\/oba/i; to bleach: pia\/o
boron	pe/ng
breathe deeply	chua\/nqi\
bullock	gu\/; jia-n
call a conference	zha\oka-ihui\yi\
care	gua-nzha\o
cedar	xi-ya/ngsha-n; ba\/i; bo\
cheat	zua\n; to cheat: pia\n; qi-zha\
citizen	go-ngmi/n
cloth for carrying baby on back	ba\/o; qia\/ng
come to earth	jia\ngshi\
compiler	bia-nzhe\/; bia-nji/
congeal	ni/ng
contradiction	ma/odu\n
could it be	mo\fe-i
crimson	ya\nho/ngse\
customer	ke\; ma\/izhu\/; gu\ke\
day of the month	ri\
defile	a\ilu\; no\ngza-ng; to defile: cho\/uhua\
desperado	bu\che\/ngzhi-tu/
dignity	zu-nya/n; da/
dismiss from office	ba\chu\; ba\gua-n
document	<official die/; go-ngwe/n; we/njia\n; we/nxia\n
drill book	ca-odia\/n
earth	di\; ni/tu\/; tu\/; ra\/ng; che/n
elect	tui-ju\/; tui-xua\/n; to elect: xua\/nju\/; xua\/n; ju\/
encounter	za-oyu\
equator	chi\da\o
exam	ka\/oshi\
expression	<facial bia\/oqi/ng; bia\/oxia\n; she/nqi/ng; bia\/oqi/ng
familar	shu/
feeler	chu\jia\/o
filth	hui\; wu-
five	wu\/
foetus	pe-i; ta-i
foretell	yu\bu\/; bu\/
freight	huo\wu\yu\nshu-
gallery	hua\la/ng
get close to	a-iji\n
glimmer	we-igua-ng
good-natured	he/sha\n
greived	da/
half	ba\n; ba\nla-; yi-ba\n; <of a section ba\njie/
haul	tuo-la-
heavy	be\nzho\ng; che/nzho\ng; che/nzho\ng; zho\ng
high-speed	kua\isu\
honored	ro/ngxi\ng; ro/ng
hundred times	ba\/ibe\i; ba\/isi-bu\jie\/
immature locusts	na\/n
in front	qia/n; <of ge-nqia/n
incomplete leaf	bu\wa/nqua/nye\
information resource	xi\nxi/zi-yua/n
intellectual	zhi-shi/fe\nzi\/; zhi-shi; zhi-shife\nzi\/; an intellectual: du/shu-re/n
invincible position	bu\ba\izhi-di\
jet	pe-nshe\
keyword	gua-njia\nci/; jia\nci/
land-based	lu\ji-
lay bare	ba\olu\
let bygones be bygones	bu\jiu\ji\wa\/ng
line with cotton wadding	xu\
loneliness	gu-da-n
low post	jue/
maintain secrecy	ba\/omi\
maker	zhi\za\ozhe-
martyr	lie\shi\
melatonin	tui\he-iji-su\
military drill	ca-oke\
model in clay	su\
motionless	bu\do\ng
musical stone	qi\ng
necklace	xia\nglia\n; yi-ng
niece	qia\n; zhi/nu; <sister's daughter she-ngnu
not approve	bu\yi\/we/ira/n
not tolerate	bu\ro/ng
obliterate	mi\/n
old woman	a\/o
opening	huo-; jie-ma\n
other side	dui\fa-ng
owl	ma-oto/uyi-ng; xiu-
part work	ba\ngo-ngba\ndu/
peach	ta/o; ta/ozi
persecute	po\ha\i; zhe/mo
pill	wa/n; ya\owa/n
please	shi\/ga-oxi\ng; qi/; to please: wu\/; <do smth qi\/ng
popular ballad	ya/o
preface	qia/nya/n; xu\ya/n
prism	sa-nle/ngji\ng
prosperity	ji\/ngqi\
purify	ji\nghua\; to purify: ti/lia\n
rabies	ko\/ngshui\/bi\ng
re on	yi\/ka\o
red orpiment	xio/nghua/ng
relieve pain	zhi\/to\ng
research area	ya/njiu-li\/ngyu\
revolt	fa\/npa\n; za\ofa\/n; ba\olua\n; to revolt: pa\nni\; pa\n
rod mill	ba\ngmo/ji-
runner-up	ya\ju-n
savings	chu\/
scum of a community	ba\ile\i
sell	xia-osho\u; gu-; to sell: chu-sho\u; ji-ngxia-o; ma\i; sho\u; sho\uma\i; <an idea yo/ushui\
set up a separate kitchen	li\ngqi\/lu/za\o
shining	bia-obi\/ng
sickbed	bi\ngchua/ng
sixty-five	liu\shi/wu\/
small pox	do\u
solemn	a\nra/n; ya/nsu\
sparkle	huo\/hua-; to sparkle: ye\
spoken words	hua\
standards organization	bia-ozhu\/nzu\/zhi-
step with left foot	chi\
streamer	pe\i; shi\da\i
subtle	we-imia\o; mia\/o
support with hand	fu/
synchronous digital hierarchy	to/ngbu\shu\we\ijie-ce/ng
talent	ca/ine/ng; tia-nca/i; ca/i; ni\ng
telephone dial	bo-ha\opa/n
theater	ju\cha\/ng; xi\yua\n
thread in screw	xua\n
to the satisfaction of everyone	da\kua\ire/nxi-n
trade organization	ma\oyi\zu\/zhi-
trial	<judicial>; <in a courtroom she\/nxu\n
tutor	jia-ti/ngjia\oshi-; fu\; to tutor: fu\/da\/o
understand completely	wa/nqua/ndo\/ngde
unrighted wrong	bu\ba/izhi-yua-n
utterly fearless	da\wu/we\i
vestige of life	she-ngmi\ngdeyi/ji-
voter	xua\/nmi/n
watery	ha/nshui\/
where there is injustice	bu\pi/ngze/mi/ng
will to fight	do\uzhi\
wooden pin	shua-n
wrought	dua\n
Arabian	a-la-bo/
Chinese foot	<M chi\/
Hong Kong person	ga\/ngre/n; xia-ngga\/ngre/n
Netherlands	he/la/n
Tibet	xi-za\ng
absurd	miu\; wa\ng
add on	jia-sha\ng
agree to and sign	<a treaty, etc qia-ndi\ng
already	ji\; ye\ji-ng; yi\/; yi\/ji-ng; ce/ng
annotate	zhu\; to annotate: zhu\
approximately	da\yue-
as many as	bu\xia\yu/
athletic supporter	sa-njia\/ofu\da\i
backdrop	be\iji\/ng; we/imu\
basically	ji-be\/nshang
be enough	go\u
be possible	hui\
become aware of	ga\/njue/
bicker	ba\nzui\/
blond	ji-nfa\/
bottom to top	xia\zhi\sha\ng
brightness	mi/nglia\ng
burn	fa/n; fe/n; ra/n; to burn: re\ta\ng; sha-o
campaign	fe-ngcha/o; ji\ngxua\/nhuo/do\ng; zhe-ngzha\n
carry away everything	xi/jua\/n
central	zho-ngya-ng
cheongsam	qi/pa/o
clamp	qia/n; qia/n
coarse grass linen	ge/
commando	bie/do\ngdui\
compound	he/che/ng; fu\he/
conscious	yo\/uyi\shi\; cha/jue/
conversation	ta/nhua\; hua\
course of action	zuo\fa\/
cross-piece	da\ng
cute	ke\/a\i
dealings	wa\/ngla/i; wa\/nghua/n
delicacies	xiu-
detect	zhe-ncha/; to detect: jia\/nce\
dip in	<ink, sauce, etc. zha\n
disrespect	ma\n
domineering	ba/hu\
drug	ya\o
eat quickly	da\chi-
electronic network	dia\nzi\/wa\/ngluo\
endorsement	<on a cheque be\ishu-
escort	hu\so\ngzhe\/; bia-o
excessively	guo\yu/
extract	cho-uchu-; yi\/nchu-; to extract: zha-icha/o; zha-ilu\; zha\; <ore, minerals, etc ti/lia\n
farewell presents	ji\n
fern	jue/le\i
financial subsidy	bu\/zhu\
flash flood	ba\oho/ng
foment	ya\/n
former residence	gu\ju-
frightful	ke\/pa\
garlic	sua\n
get up	qi\/chua/ng; qi\/
glow-worm	jua-n
gown	cha/ngpa/o; yi\; <lined pa/o
grocer	za/huo\sha-ng
halt	ti/ng; ti/ngzhi\/
have as remainder	she\ng
help in the mess kitchen	ba-ngchu/
hippopotamus	he/ma\/
hornless deer	ju-n
husk	ka-ng
impatient	bu/na\ifa/n; za\o
in parallel	<development,implementation,etc bi\ngxi/ng
incurable disease	bu\zhi\zhi-zhe\ng
inhuman	bu\re/nda\o
interchangeable	to-ngyo\ng
iron rice bowl	tie\/fa\nwa\/n
journalistic circles	ba\ojie\
king	bi\; guo/wa/ng; wa/ng
large building	da\lo/u
leading party group	da\/ngzu\/
lever	<on a machine ba-nsho\/u
list	da-n; pu\/; bia-nmu\; <of names mi/ngda-n
long-standing	ji-
lucky	ji/; rui\; xi\ng
make a distinction	qu-bie/
man and wife	fu-qi-
materially	wu\zhi/sha\ng
memory	cu/nchu\/; <unit cu/nchu\/qi\
millet	ba\i; mi/
moldy	me/i
mourning	sa-ng; zhui-da\o
myopia	ji\nshi\
neither fish nor fowl	bu\lu/nbu\le\i
no good	bu\ha\/o; bu\ji\shi\; wu/yi\; ba/ida-; bu\zho-ngyo\ng
not censure sb	bu\jiu\ji\wa\/ng
nothing	me/ishe/nme
obvious	mi/ngbai
on schedule	a\nqi/
opposition political party	fa\/ndui\da\/ng
outbreak	<of a disease fa-bi\ng
pageant	she\nghui\
pass a resolution	jue/yi\; jue/yi\a\n
peg	jue/; mu\di\ng; yi-jia-
personal view	<one's be\/nre/ndegua-ndia\/n
pistachio nuts	ka-ixi-nguo\/
plucked instrument	bo-xia/nyue\qi\
portray	hua\xia\ng; to portray: mia/ohui\; mia/omo/
prepare lessons	<of a teacher be\ike\
proceed to	shi\/
prove oneself to be	bu\kui\
put a curse on	zho\u
radius	ba\nji\ng
real results	zhe\ngya\n
refined	ji-ngzhi\; bi-n; bi-n; we/nya\/; xia/n
remit taxes	jua-n
resist	da\/ng; yu\; to resist: di\/ka\ng; ju\; ka\ng; zu\/da\/ng; xia-ngdui\; di\/; <a military attack ka\ngji-
rice with meat and vegitables	ga\ifa\n
root out	cha\/nchu/
sack	da\da\izi; na/ng; tuo/; to sack: jie\/gu\
scan	xi\ka\n
seaside	ha\/ibia-n
semicircular canal	ba\ngui-gua\/n
several hundred	ji\/ba\/i; shu\ba\/i
shoot with great precision	ba\/ibu\chua-nya/ng
sign hung above a door	bia\/n
skirmish	xia\/ocho-ngtu-
smelly	cho\u
sometimes big, sometimes small	shi/da\shi/xia\/o
special column	zhua-nla/n
spread to	bo-ji/
start of frame delimiter	zhe\ngsho\/udi\ngjie\fu\
stigma	xia/ci-
stringent	ya/nge/
sudden attack of a serious illness	ba\obi\ng
surname of Mencius	zha\/ng
tact	ji-zhi\
tannin	ro/u
tempest	ba\ofe-ngyu\/; ba\ofe-ngzho\uyu\/
there is no one	<who doesn't mo\bu\
throw	diu-dia\o; re-ng; zhua-i; pie\/; cua-n; to throw: pa-o; to/u; diu-
tonal modification	bia\ndia\o
tranquility	ni/ngji\ng
triumph	jie/
twittering of birds	zho-u
unemployment rate	shi-ye\lu
unwearied effort	zi-
value of output	cha\/nzhi/
video	do\ngta\iyi\/ngxia\ng; shi\pi/n
waitress	fu/wu\yua/n
wealth	ca/ibo/; ca/ifu\; ca/i
whirlpool	hui/; wo-; xu/n
wine-preserved pomfret	xia\/ng
worker	go-ngre/n; go-ng
yelling	<sound made by person jia\oshe-ng
Baltic	ba-e\/r
Christmas season	she\ngda\njie/
Internet site	wa\/ngzhi\/
October	shi/yue\
Vietnam war	yue\na/nzha\nzhe-ng
accident	<have an accident shi-shi\; bu\ce\; shi\gu\; bia\ngu\
administrative	xi/ngzhe\ng
air-conditioner	le\/ngqi\ji-
amber	hu\/; hu\/po\; po\
antenna	chu\jia\/o; tia-nxia\n
area	di\fang; di\qu-; di\yu\; mia\nji; qu-yu\; o-u; da\i; li\/ngyu\
ask for	ta\/o
attain gradually	xu/n
baking pan	bi\/ngche-ng
battery	dia\nchi/; pa\ota/i
be headed by	we/isho\/u
be shy	niu\/
beef	niu/ro\u
bin	xia-ngzi\/
blurt out	ra\/ng
boycott	di\/zhi\
bristles	lie\; zo-ng
bustling with noise and excitement	re\nao
cancer	a/i; ya/n
case	<legal a\n; he/zi; li\zi; a\nqi\/ng; chu/; du/; ha/n; he/
chain reaction	lia/nsuo\/fa\/nyi\ng
child's cry	lie-
classwork	go-ngke\
coffee	fe-i; ka-; ka-fe-i
common	go\ngto/ng; pu\/to-ng; pi/ngcha/ng; xu/ncha/ng; cha/nggui-; yi\ba-n; go-ng; go\ng; cha/ng; <use to-ngyo\ng; go-nggo\ng
comrades	cho/u
consort	pe\io\/u
cooked rice	fa\n
coward	cha/n; nuo\fu-
crush	ya-sui\; ya\; to crush: ya\
dairy	la\ono/ngye\
decide by vote	bia\/ojue/
demonical	xie/
development period	ka-ifa-zho-uji-
dirt	a-i; go\u; hui\; wu-
distinguishing between the sexes	xi\ngbie/
dose	ji\; yi-fu/
duke	go-ngjue/
economics	<as a field of study ji-ngji\xue/
elsewhere	bie/chu\
enjoy	xia\/ng; to enjoy: xi-nsha\/ng; xi\/; <rights, benefits, etc. xia\/ngsho\u; <rights, privileges, etc. xia\/ngyo\/u
ethnic group	mi/nzu/
exercise yard	yu\ndo\ngcha/ng
eyelashes	jie/
father	ba\; ba\ba; fu\; fu\qin
fiber distributed data interface	gua-ngxia-ngfe-nsa\nshi\zi-lia\ojie\mia\n
finger method	<in painting zhi\/fa\/
flexible	ji-do\ng; li/nghuo/; yo\/uta/nxi\ng
footpath	xi-
fossil	hua\shi/
frozen	hu\
gaudy	hua-shao
gird	shu\ji\/n; we/izhu\
go home	da\o
grand reputation	da\mi/ngdi\/ngdi\/ng
grow up	che/ngzha\/ng
hang a person	dia\o
have sex	jia-ogo\u; ji\nxi/ngxi\ngjia-o
here's to	ga-nbe-i
hoe up soil around plants	zi\/
hot and stuffy	me-nre\
ice arena	bi-ngcha\/ng
implore	qi/; yu\; yu\; a-iqiu/; qi/
